2022-02-19 13:42:42,721 django.server 157 INFO     "GET /accounts/register/ HTTP/1.1" 302 0
2022-02-19 13:42:42,728 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:42:42,729 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4891
2022-02-19 13:44:11,828 django.utils.autoreload 240 INFO     /Users/jiawen.kou/workspace/django/recruitment/recruitment/urls.py changed, reloading.
2022-02-19 13:44:11,829 asyncio      58 DEBUG    Using selector: KqueueSelector
2022-02-19 13:44:12,252 django.utils.autoreload 617 INFO     Watching for file changes with StatReloader
2022-02-19 13:44:20,609 django.utils.autoreload 240 INFO     /Users/jiawen.kou/workspace/django/recruitment/recruitment/urls.py changed, reloading.
2022-02-19 13:44:20,610 asyncio      58 DEBUG    Using selector: KqueueSelector
2022-02-19 13:44:20,996 django.utils.autoreload 617 INFO     Watching for file changes with StatReloader
2022-02-19 13:44:23,257 django.utils.autoreload 240 INFO     /Users/jiawen.kou/workspace/django/recruitment/recruitment/urls.py changed, reloading.
2022-02-19 13:44:23,258 asyncio      58 DEBUG    Using selector: KqueueSelector
2022-02-19 13:44:23,653 django.utils.autoreload 617 INFO     Watching for file changes with StatReloader
2022-02-19 13:44:32,672 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:32,672 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:40,853 django.server 157 INFO     "GET /accounts/register/ HTTP/1.1" 302 0
2022-02-19 13:44:40,859 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:40,859 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:43,960 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:43,960 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:44,153 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:44,153 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:44,312 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:44,312 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:44,466 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:44,466 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:44,621 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:44,621 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:44:53,099 django.server 157 INFO     "GET /accounts/register/ HTTP/1.1" 302 0
2022-02-19 13:44:53,106 django.request 230 WARNING  Not Found: /accounts/profile/
2022-02-19 13:44:53,106 django.server 157 WARNING  "GET /accounts/profile/ HTTP/1.1" 404 4881
2022-02-19 13:45:21,230 django.utils.autoreload 240 INFO     /Users/jiawen.kou/workspace/django/recruitment/recruitment/urls.py changed, reloading.
2022-02-19 13:45:21,231 asyncio      58 DEBUG    Using selector: KqueueSelector
2022-02-19 13:45:21,662 django.utils.autoreload 617 INFO     Watching for file changes with StatReloader
2022-02-19 13:46:09,812 django.utils.autoreload 240 INFO     /Users/jiawen.kou/workspace/django/recruitment/recruitment/urls.py changed, reloading.
